	X1	X2	Z	Y	p	p_pred
213	0.002893694	-2.217917466	1	-4.078960502	0.098694523	0.951944146
214	1.09695313	-1.111234982	1	-0.348822381	0.644558405	0.94421056
215	1.163270658	0.03024287	1	2.331063395	0.764213994	0.875601284
217	-0.391752488	1.561218683	1	2.872632923	0.813857359	0.917038865
218	-0.411069339	0.213813711	1	0.590096438	0.461747519	0.926466883
219	-0.913581282	0.258727773	1	-0.569491501	0.368962778	0.941099573
220	-0.540393091	-0.853922418	1	-3.133725689	0.164510636	0.932130412
221	0.1213623	0.326432354	0	0.786851512	0.605392728	0.90490172
222	1.727737706	0.21137536	1	3.597287841	0.852772334	0.825158083
223	-0.044191556	-0.649549415	1	0.210454954	0.330020294	0.929246153
224	0.544842393	0.046953627	1	3.378781491	0.640838392	0.898222664
225	1.917351747	1.254374355	0	5.13244928	0.877523834	0.576611742
226	-0.236570116	-0.04710162	1	2.116492882	0.428189166	0.923775506
227	1.571623348	0.197375206	1	5.140778351	0.833951982	0.837093814
230	0.439823627	0.196149539	1	-0.27403554	0.64401595	0.895674992
231	-1.88056483	0.607624799	1	-2.707423307	0.331457335	0.968712355
233	1.883168322	-0.319603452	1	4.60291559	0.865820414	0.887023788
234	-0.031287355	0.030569161	1	1.306409006	0.499940005	0.917172326
235	0.999043959	-0.35834878	1	1.00675325	0.694172288	0.907800166
236	0.30031928	0.588942706	0	1.543679956	0.690151263	0.886737389
238	-0.240304294	-0.469838174	1	-1.628391335	0.317216237	0.928412599
239	-1.770983274	2.154464697	1	0.085564789	0.908149094	0.984684023
241	1.91536655	-1.47121124	1	-0.842221356	0.864491805	0.96539456
242	1.110119614	0.444899128	1	3.314406922	0.78719054	0.840185698
243	-1.98570884	1.059715927	1	-1.537115388	0.531495925	0.977599561
244	0.814365867	-1.076251884	1	-0.9914825	0.543972451	0.941147461
245	1.098251386	1.841228077	1	9.50784078	0.87307375	0.650908368
246	-1.440694038	0.586386492	1	-0.1819814	0.39367134	0.958752786
247	1.215237654	-0.272685527	1	1.673750643	0.751801032	0.897858109
248	-0.782885017	1.933881961	1	2.186257688	0.870794353	0.945088142
255	0.332322092	-0.39244565	1	1.374557835	0.501271403	0.919812614
256	0.012112641	0.87816668	0	2.409791459	0.707849178	0.896644273
257	0.850106365	-0.991811049	1	-2.942563395	0.569513803	0.938316904
258	-1.530867814	-1.008181624	1	-2.601670205	0.035204378	0.927322066
260	1.427639907	2.185595243	0	7.118760862	0.886261858	0.481988488
261	-0.927030392	0.867646735	1	-0.730973478	0.58486658	0.946148514
262	1.00560869	1.144560948	1	5.689121297	0.828449674	0.772798153
263	-0.085957454	-0.473313856	1	0.378374029	0.359021478	0.926817314
267	1.231585461	1.081102651	1	5.604514725	0.838478809	0.74623291
270	1.430825111	0.475174377	1	6.073711622	0.827220314	0.810349215
272	0.896006658	-1.734556467	1	-2.917640032	0.484639151	0.961360412
273	0.082837909	1.722389382	1	3.907147642	0.849909028	0.864623966
276	0.839686156	-1.494262659	1	-1.560381906	0.493195253	0.954326437
277	-1.258420509	0.207394243	1	-1.064097492	0.284849573	0.948913129
280	2.210854157	0.474505672	1	7.421017916	0.896676324	0.731890809
281	0.080824445	0.277794732	0	-0.015124439	0.585985215	0.907888176
282	0.716106464	-0.12269988	1	0.492940681	0.654151843	0.90110639
283	1.054455734	1.284559279	1	7.389155578	0.840474062	0.746449495
284	0.276169684	0.094112902	1	2.167417218	0.58838354	0.905799218
285	-0.420263164	1.301373091	1	2.408229905	0.760344567	0.920786909
286	2.52250236	-1.026202684	1	1.368694358	0.942165694	0.947256004
287	0.002016521	0.170139038	0	0.802134237	0.542890337	0.913334
293	0.833869931	-0.107663106	1	1.766040108	0.68375779	0.896910232
295	-0.140449694	1.508089314	1	1.49228161	0.813595605	0.895536498
296	1.176077686	-0.823916176	1	1.734936019	0.697760511	0.931758923
297	0.186945289	1.05049682	0	3.349556661	0.7575418	0.877533562
298	-0.694774213	1.157021159	1	0.147983383	0.703533482	0.93730888
300	-0.475005511	0.643216074	1	2.149215057	0.57956213	0.926895648
301	1.206057158	0.8095954	1	5.301152733	0.821631944	0.788495299
302	0.994110234	0.09941633	1	2.38125885	0.73964248	0.877298016
303	1.539157678	-2.343021314	1	-6.186031591	0.730916205	0.982759161
304	0.29184694	0.676525978	1	1.995890998	0.704673261	0.883790693
306	-0.540914966	-0.16416799	1	0.671121473	0.320933872	0.931040198
309	0.186714798	1.408971967	1	5.3219743	0.812166404	0.863613997
311	-1.057294234	2.435973613	1	1.212714453	0.935017656	0.963794279
312	0.374238625	-0.443457885	1	-0.960159367	0.503440014	0.920820404
319	1.517265614	-1.755323505	1	-2.350825253	0.749056783	0.970138955
321	0.399695463	0.178022396	1	3.675841627	0.632310209	0.898090668
325	-0.085287322	0.273696039	1	1.658099287	0.549853828	0.914525224
326	0.465501899	0.71526634	1	3.598243169	0.733858736	0.869363896
327	-2.89E-05	0.7902478	1	2.055769357	0.687880782	0.899597593
328	0.616314071	-0.787914616	1	-0.782162393	0.517792706	0.930632152
329	-0.652050199	0.67637312	1	0.09436598	0.560905437	0.9343643
330	0.447241635	0.706103549	0	1.515415442	0.730162213	0.87124404
331	-0.182581954	-0.066654639	1	0.940842314	0.436514118	0.922707582
338	0.204763331	0.225023139	0	2.317210926	0.600307909	0.904324521
339	0.28230561	0.254306566	1	-0.447258199	0.6226276	0.900141954
340	0.159984931	1.515559564	1	4.186526909	0.825535524	0.862528753
342	0.545326268	-1.106131253	1	-0.552909113	0.435559449	0.940363119
343	-1.366536706	0.781645913	1	0.354504348	0.487298514	0.959532305
346	1.511649448	2.493681215	1	14.2143979	0.892884041	0.384604358
347	-0.349081451	0.075149423	1	-0.175533381	0.435163277	0.925550713
348	-1.970241959	1.324641964	1	-3.055787998	0.659110449	0.980610359
349	-0.847399442	-0.023260543	1	1.489935782	0.293070972	0.937516638
351	1.089671477	-2.104430649	1	-4.364946018	0.532904837	0.972512752
353	0.935231058	0.735637665	1	6.976683029	0.790322943	0.826580366
355	0.260087242	0.069473907	0	-0.493210755	0.579452561	0.907143998
356	1.150894894	0.302164835	1	3.724575963	0.782310119	0.851528917
357	1.167553939	-0.127109855	1	1.122600954	0.752994606	0.88816802
359	0.220546039	1.02031797	1	5.069652802	0.755534355	0.875697065
363	-1.117555256	1.149994932	1	-0.000954249	0.662628793	0.955786653
370	-0.914401765	1.62848819	1	-0.469006278	0.811323455	0.950878051
371	0.38169458	0.08145957	1	1.887572565	0.61007032	0.902546325
373	0.034702136	-0.914016583	1	0.738838149	0.296617944	0.933547955
374	-0.532700844	2.055656677	1	2.945050464	0.888000794	0.926715408
375	0.953449365	-0.458876558	1	1.416739466	0.67113668	0.914138701
378	1.322994586	0.314602634	0	0.424477192	0.806821595	0.838918652
380	-0.530834036	-0.397945273	1	-0.149036395	0.262231815	0.931288482
381	0.734023119	-0.89175057	1	-0.913833334	0.542287567	0.934326848
382	0.154518669	0.628941235	1	2.849328123	0.675872682	0.894334503
383	0.658628424	-1.343726504	1	-1.750625234	0.439648223	0.948005969
385	-1.941783084	0.692717122	1	0.055567266	0.3597354	0.971306359
387	-0.445298305	0.168605715	1	2.553914536	0.440495172	0.927736125
390	0.551146128	0.121186375	1	0.535951578	0.654513084	0.894506982
393	0.004910406	-0.026793051	1	1.08424989	0.494546001	0.91728481
396	0.5608504	0.234296802	1	3.392089636	0.674683354	0.888532226
398	1.392030754	2.391893294	0	7.718052769	0.892748612	0.448783765
399	2.439843142	-0.663449173	1	0.439884367	0.929938819	0.916484093
401	-0.674556237	-0.618251743	1	-1.290254795	0.182227129	0.932550631
403	0.545085905	0.93683166	1	5.024552585	0.77322131	0.849361248
404	-0.448851502	1.880714872	1	3.990106209	0.864589535	0.919980321
405	0.971246733	1.620717395	0	5.774702598	0.858745077	0.716056763
407	0.196997291	0.997542791	1	5.576176006	0.749563092	0.878625476
408	0.838738548	1.207803342	1	5.318915304	0.823468545	0.790743198
409	0.495906633	0.181884747	1	1.11945887	0.653099717	0.893933064
410	0.079423048	0.282078142	1	0.213696851	0.58669019	0.907838606
411	-1.057155453	-0.27251631	1	-1.765902349	0.186378182	0.938914028
412	-0.707799494	0.591123601	1	1.755297438	0.523114163	0.936351482
416	1.720290557	-1.550230888	1	-1.418136305	0.818093445	0.96624081
417	1.636598818	-1.208131281	1	-0.742163697	0.804880347	0.952159885
418	-0.199360118	0.665183041	1	1.454913628	0.629979392	0.913494436
419	0.529715123	-0.064372554	1	2.437610995	0.618312581	0.903677009
421	1.244708957	-2.1105615	1	-4.156376387	0.61008389	0.974868063
422	0.448864324	-0.817554943	1	-0.592236163	0.453830647	0.931710018
425	0.862225644	0.527306767	1	3.175396201	0.761732908	0.851442068
427	0.88843133	-2.429115136	1	-4.696288408	0.386598548	0.975053609
428	1.204967383	0.057344195	1	3.634516215	0.773426743	0.871476491
429	2.108427261	2.511392544	1	12.92164459	0.87785532	0.203359874
430	1.819139555	-1.632027698	1	-1.392507364	0.841783023	0.969898121
431	1.896681215	1.156383816	1	6.193724468	0.876144916	0.60720114
432	0.954919708	0.527477784	0	3.809057359	0.773914477	0.844272648
434	1.824254911	-1.70458891	1	-2.955314847	0.842170659	0.972127263
435	-0.377804859	1.226933333	1	1.670858365	0.746664104	0.91836913
436	1.486346779	-0.143574297	1	2.968533009	0.809917327	0.879578137
437	-0.41582704	0.924903004	1	-0.779760904	0.668492735	0.922656826
438	-0.329171523	0.918571024	1	0.130553925	0.677123376	0.917791588
440	2.117352129	-0.53479485	1	2.660778699	0.895550208	0.905968225
441	0.153779587	0.389713656	0	1.637147609	0.625633211	0.901627845
442	1.071802945	-1.010468179	1	-1.401190945	0.64630719	0.940000434
443	-1.109457932	1.492400752	1	0.219298002	0.770444138	0.958661313
444	0.071357457	0.168635123	1	2.153781697	0.558228573	0.910918476
445	0.211252498	1.098692603	1	3.386728877	0.767436837	0.873465964
446	0.547062895	1.934513649	1	7.266756114	0.875710956	0.77294041
447	0.402713259	-1.443945303	1	-2.341379102	0.32071583	0.947326448
448	0.698529663	-0.071439612	1	0.211145427	0.657470339	0.898966483
449	0.183229626	1.089771572	1	2.335248514	0.763716083	0.876408613
450	1.97458058	1.596366291	0	6.359377468	0.880257401	0.467224976
459	0.876568068	0.026177729	0	0.362600495	0.709152705	0.887237541
460	2.231820062	-0.620412919	1	1.469263234	0.909185662	0.913503596
461	1.588877042	1.265902741	1	8.314042085	0.864021149	0.645561645
462	0.582433806	0.102449805	0	-0.239936542	0.658147226	0.894187211
463	-0.753712158	0.963334141	1	0.940540816	0.639376801	0.939520065
464	0.177774639	0.48067947	1	3.27885381	0.649246281	0.897658514
466	-0.051679111	0.666853761	1	1.121300442	0.653034782	0.90545122
467	1.450050812	0.636999596	0	1.818248048	0.835512333	0.785030124
468	0.77231012	-0.74167605	1	0.811640321	0.578601741	0.928614348
469	0.726546061	0.207974309	1	2.892269486	0.702445186	0.882199772
470	1.54722831	-1.965192373	1	-5.697042723	0.750697653	0.975670077
471	0.125243924	1.074031289	1	4.387739562	0.756210986	0.882148545
472	0.110320066	1.419294754	0	3.75626436	0.810202496	0.871894778
473	1.826571845	1.622481326	1	9.207858369	0.877316916	0.499779869
474	-0.208423004	0.890911591	1	2.383135528	0.684673144	0.910875522
475	-0.223200168	0.203750755	1	-0.669409469	0.500822296	0.920475746
477	0.404444789	-0.933289727	1	-0.458689998	0.415782064	0.934905141
479	-0.235817567	0.191851734	1	1.120839857	0.494663996	0.921033667
480	1.907380625	0.503708771	1	6.335956111	0.873327678	0.758880445
483	-1.302584415	1.522099854	1	-1.178300062	0.770448819	0.966127074
484	-0.407082753	-1.282999503	1	-2.059543373	0.124419765	0.934453026
485	3.021601715	0.052690693	1	6.442632953	0.952333537	0.770405289
488	1.165161272	1.254401696	1	7.2260796	0.844062707	0.731057351
493	0.992359562	0.878323381	0	3.468203783	0.807660016	0.805683621
494	-0.013988606	-0.355400109	1	-0.211369831	0.408088156	0.923942533
496	0.863268017	1.995752087	1	7.214417259	0.880543352	0.690031144
498	1.727388563	-0.115484277	1	2.479713095	0.847049837	0.868376782
500	0.123248801	0.850411242	1	3.011520303	0.71529754	0.889496041
501	0.215981787	-0.890206803	1	-1.096747191	0.359372021	0.933431633
502	-1.392537756	0.960220964	1	-1.491420008	0.558790592	0.962565388
506	0.479575704	0.032728959	0	1.691633728	0.623506089	0.901110237
508	-0.077138664	1.327179403	1	3.211602897	0.786041776	0.893289707
509	0.262205216	-0.059726703	1	1.963232827	0.552384273	0.911116204
510	1.782134577	0.377480551	0	2.467149586	0.86095619	0.794546359
511	0.14511276	1.374627561	1	4.391157411	0.80533878	0.869657134
514	0.271969536	0.229420956	1	2.811424317	0.615429374	0.901435403
520	3.143767009	-0.699532996	1	1.682838165	0.971909149	0.91706506
521	-1.038598215	1.04281357	1	-1.302127583	0.63314842	0.951834227
522	-1.34782614	1.067533338	1	-0.946755454	0.608052153	0.96257302
523	0.583817868	2.11528002	1	8.132143855	0.889104726	0.747651176
524	-0.836347032	1.071813818	1	0.828091654	0.66455752	0.943737518
525	0.308640669	0.378862135	1	3.366417155	0.652270998	0.894399772
527	1.346625799	0.640059239	1	4.655466304	0.825739047	0.795677651
528	1.154432323	-1.238372092	1	-0.928626041	0.652686392	0.949502177
529	2.545930638	0.046594749	0	0.381558352	0.926437547	0.802851379
530	1.382670653	0.489314229	1	3.987074846	0.822547705	0.812700688
531	-0.152556479	0.865442052	1	3.062594382	0.685442984	0.907792874
533	0.034543939	0.432023947	0	2.377796104	0.612802069	0.906174037
534	0.501923271	-0.559178465	1	1.021965846	0.52075735	0.923282681
536	0.980973527	-0.919579043	1	0.607663949	0.625377317	0.935904362
540	1.318193532	-0.121209753	1	4.362608577	0.781916977	0.882930507
545	1.075325636	-1.102987644	1	0.165809871	0.637694936	0.943747704
549	0.801925045	1.948637429	1	9.046973152	0.877528587	0.71212325
552	0.914099111	0.166279288	1	4.961890759	0.73191897	0.8760291
554	1.026186187	0.672119758	1	4.741977632	0.794692426	0.824080511
555	0.15449477	1.221082067	0	2.857575427	0.782662724	0.874316318
556	-0.713809083	2.368602523	1	2.733468241	0.924152926	0.941790775
557	0.059415252	1.552704087	1	5.652876116	0.827211512	0.873214886
562	0.215449171	0.050017263	1	0.49313237	0.564655551	0.909201622
563	1.024372521	0.077515559	1	3.337270311	0.743108009	0.877647043
564	1.036686336	-0.06130886	1	1.652005207	0.732463304	0.887490555
565	-0.204094966	0.308045697	1	1.666703669	0.533794901	0.918493608
566	0.786729166	-0.425657158	1	1.266710174	0.629135633	0.914690933
569	-0.003947719	0.469973593	1	2.917608164	0.614662446	0.907147023
571	-1.56126074	1.415064569	1	-0.242830801	0.722810602	0.972705702
572	0.756338481	0.71638659	1	4.044703389	0.768846562	0.845082732
573	1.03428868	0.478909386	0	1.652787443	0.779977076	0.842610917
576	0.274949557	0.103081658	0	-1.383869243	0.58997453	0.905547229
577	0.976963065	0.1248912	0	0.393666285	0.739013445	0.876147672
579	-0.395033471	0.297769547	1	1.662267113	0.49038882	0.925448115
580	1.819059421	-0.401164342	1	0.937481236	0.856038071	0.8967827
582	0.174839206	2.02265444	1	4.866058157	0.882950684	0.838698664
583	0.629061954	-0.973417633	1	-1.364360312	0.49045474	0.936816342
586	-0.092575	0.00945113	1	0.084062019	0.479340169	0.919271467
587	0.970506118	-2.202759888	1	-5.037339401	0.459251128	0.972540544
590	0.233105298	0.532422269	1	1.231845359	0.668957185	0.892886279
591	-0.678212233	0.888122205	1	3.090865067	0.625059065	0.935877135
593	0.121653695	-1.325655952	1	-1.60604321	0.245387314	0.941370625
594	0.994586978	-0.612170194	1	0.420086159	0.665264722	0.921726357
596	-0.526960692	0.302959886	1	-0.039442691	0.4640181	0.929839495
597	-0.436258583	0.851849018	1	-0.043445427	0.645977375	0.924141267
599	0.934428352	-0.545201855	1	1.976696423	0.655646389	0.918835574
603	-1.259589352	0.241941914	1	-1.234137555	0.296238696	0.949425485
605	0.204427241	0.560614097	0	1.411495584	0.669901356	0.893579383
606	1.386982274	2.6970915	0	10.47036135	0.901469914	0.385735519
607	1.175580503	-0.620021063	1	0.536100901	0.715042468	0.920907636
609	1.123275336	0.167470625	0	0.381800027	0.7679351	0.865594068
612	-0.459636106	1.032829046	1	1.409564068	0.692227908	0.924586205
615	-1.146564325	0.229906306	1	-0.66266167	0.313274072	0.946650803
616	0.740050942	1.255645612	1	5.430334873	0.822163647	0.800571511
618	-0.607855211	0.317065111	1	0.140510267	0.451546223	0.932434713
619	1.646086366	-0.199669931	1	0.445817989	0.833515961	0.88032674
620	0.399106679	0.377177793	1	4.302082979	0.668413301	0.88983064
621	-1.037424396	1.569953025	1	0.453244541	0.793619474	0.956271526
622	-0.230279004	0.513364892	1	0.636360572	0.584723486	0.9169794
623	0.466676242	0.097892862	1	1.102196375	0.632214063	0.89880166
625	-0.516923986	1.648979028	1	3.202062363	0.826102591	0.926328369
627	-0.599440322	2.182784821	1	3.812927009	0.903572866	0.932283779
629	0.729446574	0.302947178	1	2.733816926	0.715429464	0.876162188
631	-0.37371847	0.007276689	1	-0.080919655	0.4097299	0.926680941
632	-0.160605144	0.813319202	1	3.386962653	0.672172111	0.909127044
633	0.004868692	0.338607046	1	-0.483722637	0.584834448	0.909626779
634	1.542961684	0.26822403	1	1.775071036	0.832612381	0.829618822
635	1.127181775	1.117118115	1	5.432779606	0.834063216	0.757534678
636	1.57281646	1.208679532	1	9.412757902	0.861878486	0.661311776
637	-0.105722644	0.210410194	1	2.624122268	0.528920212	0.916355972
638	-0.580675387	1.192239378	1	3.433562478	0.722664282	0.931156691
640	1.838700458	0.206592552	1	5.847220128	0.864755447	0.81844866
641	0.773480902	0.688397291	1	3.374344885	0.767749524	0.845764781
643	0.241983713	-0.382175031	1	1.206475839	0.476529449	0.920813473
644	0.390901116	0.76594891	0	1.377658978	0.732461027	0.872594961
649	0.354136347	0.609500352	1	1.016427069	0.701764322	0.882420516
650	-0.070514738	0.462538319	1	0.813669607	0.600687728	0.910452013
651	0.343805018	0.218181096	0	-2.181248551	0.628194797	0.89883791
654	-0.688266537	0.90213737	1	2.701277751	0.628158846	0.936366162
657	1.804666208	-2.303566636	1	-4.456268193	0.829159761	0.98490637
658	-0.628770348	-0.174318994	1	1.242930862	0.29777982	0.932669743
660	0.740314994	-0.960110174	1	-1.490495398	0.533847354	0.936766316
661	0.552301796	0.35809735	1	1.550539549	0.692431234	0.882584578
662	0.593927671	0.25006378	1	2.486325457	0.68346282	0.886153193
666	-0.786097482	-0.060444864	1	-0.407133867	0.295191856	0.936041589
667	0.681888733	-0.031378826	1	1.669277726	0.659531773	0.89741076
668	0.85478704	0.53546368	1	5.213460705	0.761586467	0.851344936
669	0.306682191	-0.4070012	1	-0.209086267	0.490523885	0.920601865
673	0.527184544	-0.054416669	1	1.604646337	0.619425784	0.903321421
674	1.915037152	-2.056864833	1	-4.290829193	0.861482564	0.981599314
675	1.784016832	0.860014835	1	7.557782654	0.867253635	0.699560889
680	-1.031501557	0.237049178	1	-0.228870743	0.338005724	0.943941137
682	0.288022106	-0.533677793	1	-1.168621856	0.457899871	0.924383422
683	-0.048127078	0.52669555	1	1.431831042	0.620399121	0.908119329
